dataset\100000.jpg,0.00113543540757,6.23010442805e-08,2.62462312403e-10,2.38166150101e-10,5.95190389269e-20,5.90145616292e-14,-1.79594580603e-21
dataset\100001.jpg,0.00147747842175,2.65536979232e-07,2.67425576988e-10,2.22807871388e-10,5.42184574535e-20,1.13493796349e-13,-4.28183177646e-21
dataset\100002.jpg,0.00196346751225,3.14738598091e-07,5.7510345227e-10,6.92892635025e-10,1.77368843793e-19,-3.17127682596e-14,3.99816204281e-19
dataset\100100.jpg,0.00147211953368,1.83551533051e-07,2.30898015419e-10,4.41896200664e-11,-2.36311173112e-21,-1.21248147692e-14,3.78680709979e-21
dataset\100101.jpg,0.00220028634282,4.50985522163e-07,1.03846358489e-09,1.79086198127e-10,-2.39779827699e-20,-8.72693777683e-14,7.34139326167e-20
dataset\100200.jpg,0.00158690828571,2.86654428045e-07,7.13833724685e-11,2.83812285136e-11,1.12730992526e-21,1.08281241971e-14,-6.00883850545e-22
dataset\100201.jpg,0.00136603015087,4.73952885529e-08,1.5016902366e-10,1.08947325665e-12,2.92756191139e-24,-1.94666577752e-16,-1.36242731911e-23
dataset\100300.jpg,0.00130520997068,1.76365026167e-07,5.70791106614e-13,3.3134573509e-13,9.32357758947e-26,-9.08477097076e-17,-1.09870760916e-25
dataset\100301.jpg,0.00122382990824,1.06290725584e-07,3.08415827964e-12,2.91606954651e-12,-8.13337457555e-24,8.02197558554e-16,3.21327257401e-24
dataset\100302.jpg,0.00120872032465,1.00441339113e-07,2.74829931136e-12,2.02009236867e-12,-3.98139857263e-24,5.10190205568e-16,2.60848179783e-24
dataset\100400.jpg,0.00136767783688,1.8192174762e-07,1.33526904934e-11,9.96774466158e-12,5.02843676719e-23,2.33059450404e-16,1.03418472793e-22
dataset\100401.jpg,0.00234028961142,1.24963867192e-06,3.20016863025e-10,2.75672428138e-10,7.48688802132e-20,2.86470347551e-13,-3.31502911449e-20
dataset\100500.jpg,0.000854723093821,5.94780607325e-08,6.97488768706e-12,2.21103045435e-12,8.68245708394e-24,-5.38146724529e-16,7.91631591126e-26
dataset\100501.jpg,0.00124082636561,1.13108024747e-07,4.83145973015e-11,2.16532393764e-11,7.00292692286e-22,-7.2663855854e-15,9.95800755739e-24
dataset\100502.jpg,0.0012325981233,1.38449607237e-07,6.14605140779e-11,5.73636298991e-11,3.40222479273e-21,2.09726270944e-14,1.61711491016e-22
dataset\100503.jpg,0.00125151298427,1.22783894759e-07,3.10493214271e-11,2.01164297471e-11,4.78392956767e-22,-7.04202702894e-15,1.54590203353e-22
dataset\100600.jpg,0.00204000816553,7.60006101463e-08,9.91426330212e-11,1.22007555641e-12,-2.5593259656e-25,-1.02894791136e-16,-1.34162550906e-23
dataset\100601.jpg,0.00207502270284,3.49428991055e-07,5.29261295925e-10,8.10263655777e-11,1.60842975082e-20,4.76896351793e-14,4.77925491448e-21
dataset\100700.jpg,0.00407846522938,4.0112799583e-07,4.83402250088e-10,2.96191614775e-10,-2.55928874542e-20,1.81675291707e-13,1.09114999327e-19
dataset\100701.jpg,0.00294686089168,1.10752803405e-06,1.29218186421e-09,1.21368581742e-09,-1.31092388944e-18,-1.18356987758e-12,7.6918187102e-19
dataset\100800.jpg,0.00116483419824,1.90204003421e-07,1.23136684086e-10,1.10924382688e-10,1.2559598274e-20,4.77325209643e-14,3.2121799001e-21
dataset\100801.jpg,0.00104430492707,1.01035736341e-08,5.25973785387e-11,5.25025863537e-11,2.39085746602e-21,4.63330928459e-15,1.37692792726e-21
dataset\100900.jpg,0.00102786113722,2.73544657729e-08,4.64060891329e-11,1.01360011967e-10,6.17340300439e-21,-1.61223061242e-14,-3.19600321872e-21
dataset\100901.jpg,0.00127048040856,6.41666904654e-09,1.58651528485e-11,3.0199036607e-11,1.72593761666e-22,-2.49069914951e-16,-6.38085516054e-22
dataset\100902.jpg,0.00124235582695,9.26232043319e-09,9.46152297589e-12,9.89046583444e-11,-1.70611048167e-21,-3.94850046959e-15,-2.49863864213e-21
dataset\101000.jpg,0.00133439699313,6.04187511493e-08,3.60439331688e-10,1.43711874049e-10,2.46295040026e-20,2.74043389203e-14,2.15222235676e-20
dataset\101001.jpg,0.000952973201041,4.49442835955e-08,1.87380086916e-11,3.51698406359e-12,2.83581705494e-23,3.06907673778e-16,-3.31039699201e-24
